DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2018-01-01,9,7,33,7,8,8,0.1,83,9.875,1010,56,9,6,3,116,122,116,0,1,3.2,météo défavorable
2018-01-02,11,5,22,5,7,10,0.9,89,9.875,1017,71.125,11,10,2,116,122,122,0,1,3.2,météo très défavorable
2018-01-03,15,9,39,11,11,9,1.7,68,8.875,1010,89.25,15,11,5,122,122,122,0,1,5.1,météo défavorable
2018-01-04,14,9,33,11,14,10,9.2,85,8.375,1007,77.5,14,11,7,143,122,113,0,1,3.2,météo défavorable
2018-01-05,11,7,20,9,10,8,0.6,90,9,1003,66.625,11,8,7,122,119,113,0,1,5.1,météo défavorable
2018-01-06,7,6,10,6,7,6,0.5,91,8,1012,83.625,8,6,5,122,122,122,0,1,3.3,météo très défavorable
2018-01-07,7,6,27,6,7,6,1.3,83,8.875,1019,100,7,5,1,122,122,122,0,1,3.3,météo très défavorable
2018-01-08,8,4,17,5,7,5,0,90,10,1019,65.25,8,5,1,122,116,116,0,1,8.7,météo très défavorable
2018-01-09,8,4,13,4,6,7,0,93,9,1013,85.375,8,6,3,143,119,122,0,1,3.3,météo très défavorable
2018-01-10,8,6,12,6,8,7,1,89,9,1010,83.875,9,6,5,122,122,119,0,1,3.3,météo très défavorable
2018-01-11,7,5,9,5,7,6,1,94,5.875,1022,84.25,7,6,5,143,119,122,0,1,3.3,météo très défavorable
2018-01-12,5,3,8,3,5,5,0,93,9,1026,62.25,6,4,2,143,116,119,0,1,6.9,météo très défavorable
2018-01-13,6,2,15,2,6,4,0,91,8,1025,47,6,4,0,143,113,119,0,1,8.7,météo très défavorable
2018-01-14,7,1,7,1,6,5,0,89,10,1019,61.75,8,4,1,122,113,116,0,1,6.9,météo très défavorable
2018-01-15,9,3,37,4,6,9,9.5,86,9.25,1019,70.375,9,7,0,122,122,122,0,1,3.3,météo très défavorable
2018-01-16,10,7,31,8,10,7,3.1,73,10,1003,71.25,10,6,4,116,119,116,0,1,3.3,météo défavorable
2018-01-17,7,4,27,4,7,6,0.7,73,9.875,1016,61.5,7,2,0,119,116,119,0,1,8.7,météo très défavorable
2018-01-18,11,6,30,9,11,8,4.6,82,9.625,1012,81.375,11,8,6,122,122,116,0,1,3.3,météo défavorable
2018-01-19,7,4,18,4,6,5,0,83,10,1015,36.625,8,2,1,116,116,116,0,1,8.7,météo très défavorable
2018-01-20,10,4,27,4,7,10,4,91,8.625,1015,94.625,10,8,1,122,122,122,0,1,3.4,météo très défavorable
2018-01-21,10,5,17,5,5,7,6,96,8.25,1018,93,10,9,3,119,122,143,0,1,3.4,météo très défavorable
2018-01-22,12,8,26,11,11,8,4.1,89,8,1022,84.75,12,10,7,122,122,116,0,1,5.1,météo défavorable
2018-01-23,11,6,20,6,9,11,0.3,90,9,1024,73.75,11,10,4,116,122,122,0,1,5.2,météo défavorable
2018-01-24,12,11,26,11,12,11,0.1,86,10,1023,84.875,12,10,8,122,122,116,0,1,3.4,météo défavorable
2018-01-25,11,7,12,9,9,8,4.2,89,9.625,1015,93.375,11,8,6,122,119,122,0,1,3.4,météo défavorable
2018-01-26,9,4,9,4,8,6,0,86,10,1026,41.625,9,5,4,116,116,116,0,1,8.7,météo très défavorable
2018-01-27,8,3,14,3,6,5,0,88,10,1034,26.25,9,4,2,113,113,116,0,1,8.7,météo très défavorable
